Column1,Start Date,End Date,Convention Series,Convention Name,City,State/Region,Country,Venue,Website,Notes,Performer Lineup
35,10/10/2025,10/12/2025,Magic Valley Magic Convention,Magic Valley Magic Convention 2026,Clanton,Alabama,USA,,http://www.magicvalleymagic.net,14th Annual,
36,10/12/2025,10/13/2025,South Tyneside International Magic Festival,South Tyneside International Magic Festival 2026,South Shields,England,UK,,https://campaigns.southtyneside.gov.uk/magic-festival/,,
37,11/6/2025,11/8/2025,TRICS (Carolina Close-Up Convention),TRICS (Carolina Close-Up Convention) 2026,Charlotte,North Carolina,USA,,http://tricsconvention.com/,,
38,1/11/2026,1/14/2026,East Coast Spirit Sessions 9,East Coast Spirit Sessions 9 2026,Myrtle Beach,South Carolina,USA,,https://tinyurl.com/East-Coast-Spirit-Session-9,,
39,1/11/2026,1/13/2026,Gator Gate Gathering,Gator Gate Gathering 2026,Orlando,Florida,USA,,https://www.facebook.com/GatorGateGathering,,
40,1/12/2026,1/14/2026,The Session,The Session 2026,London,,England,,https://www.sessionconvention.com/,,
41,1/23/2026,1/25/2026,MagiFest,MagiFest 2026,Columbus,Ohio,USA,,https://www.vanishingincmagic.com/magic-conventions/magifest/,,
42,1/30/2026,2/1/2026,Kapital Konvention,Kapital Konvention 2026,Washington,DC,USA,,https://www.kapitalkidvention.com/,,
43,2/11/2026,2/15/2026,Flasoma,Flasoma 2026,Cali,,Colombia,,https://flasomacali2025.com,,
44,2/19/2026,2/22/2026,Blackpool Convention,Blackpool Convention 2026,Blackpool,,England,,https://blackpoolmagicconvention.com/,,
45,3/13/2026,3/14/2026,Magic Capital Close-Up Convention,Magic Capital Close-Up Convention 2026,Colon,Michigan,USA,,https://magiccapitalcloseup.com/,,
46,3/26/2026,3/28/2026,The Gateway Close-Up Gathering,The Gateway Close-Up Gathering 2026,Collinsville,Illinois,USA,,https://www.baskervilleproductions.com/gateway2024,,
