name,slug,startDate,endDate,isOneDayEvent,isTBD,city,stateAbbreviation,stateName,country,venueName,descriptionShort,descriptionMain,websiteUrl,status,coverImageUrl,profileImageUrl,galleryImageUrls,seriesId
FISM 2025,fism-2025,7/14/2025,7/19/2025,,,Turin,,,Italy,,,,https://fismitaly2025.com,PUBLISHED,,,,cmasg3kq5003jeif8c0bd8ywl
Flasoma 2026,flasoma-2026,2/11/2026,2/15/2026,,,Cali,,,Colombia,,,,https://flasomacali2025.com,PUBLISHED,,,,cmasg3lcd00c5eif8ghan0m9y
French Championship of Magic 2025,french-championship-of-magic-2025,10/3/2025,10/6/2025,,,Palais des Congrès,,,France,,,,https://congresffap.com/,PUBLISHED,,,,cmasg3kx8006beif831jdepz7
Fröhlich Magic Convention 2025,frohlich-magic-convention-2025,9/5/2025,9/8/2025,,,Bad Aussee,,Salzburg,Austria,,,,https://zauberfestival.life/,PUBLISHED,,,,cmasg3l5a009deif8ifd8m6hi
Gator Gate Gathering 2026,gator-gate-gathering-2026,1/11/2026,1/13/2026,,,Orlando,,Florida,USA,,,,https://www.facebook.com/GatorGateGathering,PUBLISHED,,,,cmasg3l9h00b1eif881m2kne4
IBM British Ring Convention 2025,ibm-british-ring-convention-2025,9/13/2025,9/15/2025,,,Eastbourne,,England,UK,,,,https://britishring.org.uk/convention-countdown/,PUBLISHED,,,,cmasg3kze0075eif8y4g4ecym
IBM Convention 2025,ibm-convention-2025,7/9/2025,7/12/2025,,,Houston,,Texas,USA,,,,https://www.ibmconvention.com,PUBLISHED,,,,cmasg3kph0039eif8ng2n0e71
Kapital Konvention 2026,kapital-konvention-2026,1/30/2026,2/1/2026,,,Washington,,DC,USA,,,,https://www.kapitalkidvention.com/,PUBLISHED,,,,cmasg3lbn00bveif8wdjxfe8e
KIDabra 2025,kidabra-2025,8/13/2025,8/16/2025,,,Chattanooga,,Tennessee,USA,,,,https://www.kidabra.org/,PUBLISHED,,,,cmasg3ksw004neif8we0usrks
Leeds Magic Jam 2025,leeds-magic-jam-2025,9/8/2025,9/8/2025,,,Garforth,,Leeds,UK,"Garforth Welfare Hall, 56 Main Street",,,Leeds Magic Jam,PUBLISHED,,,,cmasg3kxz006leif830z0kix3
Magicians' Alliance of Eastern States 2025,maes-2025,9/5/2025,9/7/2025,,,Cherry Hills,,New Jersey,USA,,,,https://maesconvention.com/,PUBLISHED,,,,cmasg3kwk0061eif83pprh6ev
Magialdia Magic Festival 2025,magialdia-magic-festival-2025,9/16/2025,9/22/2025,,,Vitoria,,,Spain,,,,http://magialdia.com/,PUBLISHED,,,,cmasg3l05007feif8ooai5dmy
Magic at the Beach 2025,magic-at-the-beach-2025,9/11/2025,9/13/2025,,,Myrtle Beach,,South Carolina,USA,,,,https://www.magicatthebeach.org/,PUBLISHED,,,,cmasg3kyp006veif88i1pz05b
Magic Capital Close-Up Convention 2026,magic-capital-close-up-convention-2026,3/13/2026,3/14/2026,,,Colon,,Michigan,USA,,,,https://magiccapitalcloseup.com/,PUBLISHED,,,,cmasg3ldq00cpeif80gvab5he
MAGIC Live! 2025,magic-live-2025,8/3/2025,8/6/2025,,,Las Vegas,,Nevada,USA,,,,https://www.magicconvention.com/,PUBLISHED,,,,cmasg3ks8004deif8ycwmqvgv
Magic Valley Magic Convention 2025,magic-valley-magic-convention-2025,10/10/2025,10/12/2025,,,Clanton,,Alabama,USA,,,,http://www.magicvalleymagic.net,PUBLISHED,,,,cmasg3l6o009xeif8dzwh6tvt
MAGICA – The German Championship of Magic Art 2025,magica-the-german-championship-of-magic-art-2025,10/9/2025,10/12/2025,,,Lübeck,,,Germany,,,,https://zauberkongress.de/,PUBLISHED,,,,cmasg3l5y009neif83ceb6sbh
MagiFest 2026,magifest-2026,1/23/2026,1/25/2026,,,Columbus,,Ohio,USA,,,,https://www.vanishingincmagic.com/magic-conventions/magifest/,PUBLISHED,,,,cmasg3lax00bleif82n4s9w0v
Magistrorum 2025,magistrorum-2025,9/18/2025,9/21/2025,,,Las Colinas,,Texas,USA,,,,https://www.magistrorum.net/,PUBLISHED,,,,cmasg3l1j007zeif8hrgxqk8t
Magi-Whirl 2025,magi-whirl-2025,8/29/2025,8/31/2025,,,Washington,,DC,USA,,,,https://magi-whirl.org,PUBLISHED,,,,cmasg3kuc0057eif8m4fdzwht
MAWNY 2025,mawny-2025,4/27/2025,4/27/2025,,,Batavia,,New York,USA,,,,http://www.mawny.org,PUBLISHED,,,,cmasg3kl3001leif86vq1co19
Melbourne Magic Festival 2025,melbourne-magic-festival-2025,7/7/2025,7/19/2025,,,Melbourne,,Victoria,Australia,,,,https://melbournemagicfestival.com/,PUBLISHED,,,,cmasg3kor002zeif8kerqlog0
Michigan Magic Day 2025,michigan-magic-day-2025,5/16/2025,5/17/2025,,,Detroit,,Michigan,USA,,,,https://detroitmagic.club/michigan-magic-day-2025/,PUBLISHED,,,,cmasg3kna002feif8743ltjw9
New York Magic Conference 2025,new-york-magic-conference-2025,9/27/2025,9/29/2025,,,Callicoon,,New York,USA,,,,https://newyorkmagicconference.com/,PUBLISHED,,,,cmasg3l4j0093eif81gb3k7pj
Original Close-Up Magic Symposium 2025,original-close-up-magic-symposium-2025,9/18/2025,9/20/2025,,,Wien,,,Austria,,,,https://magic-theater.at/index.php?c=category&id=7,PUBLISHED,,,,cmasg3l0t007peif8rr3yjhbl
Poe's Magic Conference 2025,poes-magic-conference-2025,8/21/2025,8/24/2025,,,Baltimore,,Maryland,USA,,,,https://poesmagicconference.com/,PUBLISHED,,,,cmasg3ktn004xeif8vl6amaiq
Portland Magic Jam 2025,portland-magic-jam-2025,4/4/2025,4/6/2025,,,Portland,,Oregon,USA,Portland Airport Sheraton Inn,,,https://pdxmagicjam.com/,PUBLISHED,,,,cmasg3kgc0007eif866qowd02
South Tyneside International Magic Festival 2025,south-tyneside-international-magic-festival-2025,10/12/2025,10/13/2025,,,South Shields,,England,UK,,,,https://campaigns.southtyneside.gov.uk/magic-festival/,PUBLISHED,,,,cmasg3l7d00a7eif8xb5y7d0q
Tampa Bay Festival of Magic 2025,tampa-bay-festival-of-magic-2025,5/31/2025,5/31/2025,,,Tampa,,Florida,USA,,,,https://www.tampamagicclub.com/festival-of-magic-1.html,PUBLISHED,,,,cmasg3ko1002peif8h3122cfl
Texas Association of Magicians (T.A.O.M.) 2025,taom-2025,8/29/2025,9/1/2025,,,Dallas,,Texas,USA,,,,https://taom.org,PUBLISHED,,,,cmasg3kv3005heif8xze7fslo
The Conjuror Community Summit 2025,the-conjuror-community-summit-2025,9/26/2025,9/28/2025,,,Baltimore,,Maryland,USA,,,,https://conjurorcommunitysummit.com,PUBLISHED,,,,cmasg3l33008jeif8j5vkwi23
The Gateway Close-Up Gathering 2026,the-gateway-close-up-gathering-2026,3/26/2026,3/28/2026,,,Collinsville,,Illinois,USA,,,,https://www.baskervilleproductions.com/gateway2024,PUBLISHED,,,,cmasg3khb000heif8ks0wsae4
The Session 2026,the-session-2026,1/12/2026,1/14/2026,,,London,,,England,,,,https://www.sessionconvention.com/,PUBLISHED,,,,cmasg3la600bbeif8wjc93wbv
TRICS (Carolina Close-Up Convention) 2025,trics-carolina-close-up-convention-2025,11/6/2025,11/8/2025,,,Charlotte,,North Carolina,USA,,,,http://tricsconvention.com/,PUBLISHED,,,,cmasg3l8300aheif8rddlce3i
WonderBash 2025,wonderbash-2025,4/10/2025,4/12/2025,,,Grand Rapids,,Michigan,USA,,,,https://morethantricks.com,PUBLISHED,,,,cmasg3kiy0011eif83c0pu7vv
